Key_ID,AR_Text,EN_Text
ui_game_title,Sip & Seek: Nomad Cafe,Sip & Seek: Nomad Cafe
ui_play,العب,Play
ui_settings,الإعدادات,Settings
ui_shop,المتجر,Shop
ui_passport,جواز السفر,Passport
ui_album,الألبوم,Album
ui_achievements,الإنجازات,Achievements
ui_daily,التحديات اليومية,Daily Challenges
ui_next,التالي,Next
ui_skip,تخطي,Skip
ui_retry,إعادة,Retry
ui_buy,اشتري,Buy
ui_close,إغلاق,Close
ui_confirm,تأكيد,Confirm
ui_cancel,إلغاء,Cancel
ui_back,رجوع,Back
ui_share,مشاركة,Share
ui_save,حفظ,Save
ui_continue,متابعة,Continue
ui_later,لاحقاً,Later
ui_coins,عملات ذهبية,Gold Coins
ui_gems,جواهر,Gems
ui_stars,نجوم,Stars
ui_level,المستوى,Level
ui_level_complete,مرحلة مكتملة!,Level Complete!
ui_congrats,مبروك!,Congratulations!
ui_revealed,مكشوف,Revealed
ui_locked,مقفل,Locked
ui_frozen,مجمد,Frozen
ui_progress,التقدم,Progress
ui_reward,المكافأة,Reward
ui_powerups,الأدوات المساعدة,Power-ups
ui_fog_clearer,كاشف الضباب,Fog Clearer
ui_golden_hammer,المطرقة الذهبية,Golden Hammer
ui_bomb,القنبلة,Bomb
ui_hint,تلميح,Hint
ui_time_extender,وقت إضافي,Time Extender
ui_vision,الرؤية,Vision
ui_premium_pass,جواز المسافر المميز,Premium Traveler's Pass
ui_free_pass,المسار المجاني,Free Pass
ui_welcome_bundle,حزمة الترحيب,Welcome Bundle
ui_weekend_bundle,حزمة نهاية الأسبوع,Weekend Bundle
ui_starter_pack,حزمة البداية,Starter Pack
ui_best_value,الأفضل قيمة!,Best Value!
ui_watch_ad,شاهد إعلاناً,Watch Ad
ui_ad_reward,شاهد إعلاناً للحصول على مكافأة,Watch an ad to earn a reward
ui_no_thanks,لا شكراً,No Thanks
ui_are_you_sure,هل أنت متأكد؟,Are you sure?
ui_skip_level_warn,هل أنت متأكد؟ هذه المرحلة ممتعة! 😊,Are you sure? This level is fun! 😊
ui_star_1,⭐ أكملت المرحلة,⭐ Level Complete
ui_star_2,⭐⭐ أداء ممتاز!,⭐⭐ Excellent!
ui_star_3,⭐⭐⭐ مثالي!,⭐⭐⭐ Perfect!
ui_master_explorer,المستكشف الأعظم,Master Explorer
ui_strategist,الاستراتيجي,Strategist
ui_total_merges,إجمالي الدمجات,Total Merges
ui_tiles_revealed,بلاطات مكشوفة,Tiles Revealed
ui_moves_left,حركات متبقية,Moves Left
lv1_name,ركن الجدة,Grandma's Corner
lv2_name,الرف القديم,The Old Shelf
lv3_name,نافذة الشارع,Street Window
item_coffee_bean,حبة بن,Coffee Bean
item_bean_pile,كومة حبوب,Bean Pile
item_ground_coffee,بن مطحون,Ground Coffee
item_coffee_cup,فنجان قهوة,Coffee Cup
item_coffee_pot,دلّة قهوة,Coffee Pot
item_tea_leaf,ورقة شاي,Tea Leaf
item_tea_bundle,حزمة شاي,Tea Bundle
item_tea_bag,كيس شاي,Tea Bag
item_tea_glass,كأس شاي,Tea Glass
item_tea_set,طقم شاي,Tea Set
item_torn_paper,ورقة ممزقة,Torn Paper
item_paper_scraps,قصاصات ورق,Paper Scraps
item_old_letter,رسالة قديمة,Old Letter
item_envelope_bundle,حزمة رسائل,Envelope Bundle
item_treasure_map,خريطة كنز,Treasure Map
item_explorers_journal,دفتر المستكشف,Explorer's Journal
item_fabric_scrap,قطعة قماش,Fabric Scrap
item_rope,حبل,Rope
item_magnifying_glass,عدسة مكبرة,Magnifying Glass
item_excavation_brush,فرشاة حفريات,Excavation Brush
item_chisel,أزميل,Chisel
item_explorers_bag,حقيبة مستكشف,Explorer's Bag
obs_locked,صندوق مقفل,Locked Tile
obs_frozen,جليد,Frozen Tile
obs_keylock,قفل مفتاح,Key Lock Tile
obs_dark,مربع مظلم,Dark Tile
obs_golden,مربع ذهبي,Golden Tile
ach_begin,البداية,The Beginning
ach_saver,المقتصد,The Saver
ach_merge10,سيد الدمج,Merge Master
ach_reveal,الكاشف,The Revealer
ach_speed,العداء السريع,Speed Runner
ach_perfect,المثالي,Perfectionist
ach_collector,الجامع,Collector
ach_explorer,المستكشف الأعظم,Master Explorer
daily_merge,"ادمج {target} عنصر","Merge {target} items"
daily_level,"أكمل {target} مستويات","Complete {target} levels"
daily_stars,"اجمع {target} نجوم","Earn {target} stars"
daily_reveal,"اكشف {target} بلاطة","Reveal {target} tiles"
daily_chain,"اصنع عنصر مستوى {target}","Create a Level {target} item"
daily_perfect,"احصل على 3 نجوم في {target} مستوى","Get 3 stars on {target} level(s)"
daily_nohelp,أكمل مستوى بدون مساعدات,Complete a level without powerups
dlg_lv1_pre_1,"جدة، ليش كل مرة بتقعدي هون بالزاوية هاي؟","Grandma, why do you always sit here in this corner?"
dlg_lv1_pre_2,"تعال يا حبيبي، اقعد جنبي... خليني أوريك.","Come sit with me, dear... let me show you."
dlg_lv1_post_1,"شفت؟ هاد الإبريق... أهداني ياه جدك يوم خطبتنا.","See? This teapot... your grandfather gave it to me on our engagement day."
dlg_lv1_post_2,"ما كنت بعرف! شو هالقصة الحلوة!","I didn't know! What a lovely story!"
dlg_lv1_post_3,"في كتير قصص يا ولدي... بس لازم تكشف الباقي.","There are many stories, my dear... but you must uncover the rest."
dlg_lv2_pre_1,"هاد الرف... مغطى غبار من زمان!","This shelf... it's been covered in dust for ages!"
dlg_lv2_pre_2,"أي والله، ما فتحته من سنين... خايفة ألاقي ذكريات صعبة.","Indeed, I haven't opened it in years... I'm afraid of finding difficult memories."
dlg_lv2_post_1,"جدة! صور قديمة... ورسايل! من هون؟","Grandma! Old photos... and letters! Where are they from?"
